rating,,review_text,
5,,good afternoon my Moses deepark akpan l don no what is going on you people block me for me from using WhatsApp is everything ok am not a scam l work for a leaving and the name of my company is call dovahieght energy limited in lagos without WhatsApp am nothing pls on block am not a scam and my phone was stolen l just a new phone not too long,
4,,very nice but it'd be nice to be able to use device emojis in app for Android just like what's on apple,
5,,It is use for chatting and sharing videos easily,
1,,whatsapp unbann please,
5,,one & one only pics,
5,,good app,
5,,Its so good,
1,,bug issue in my nothing phone 1,
1,,"No matter how high quality is my video or photo, in status is always blurry, we are in 2025 in the era of 5g, like common man",
3,,slow chalta ha thora,
5,,it is fantastic,
5,,I like using WhatsApp but I don't have much experience.,
5,,very useful app ever 👍😎,
1,,cool wrok,
3,,it's almost the year 2026 and yet the status for video didn't upgrade to 720p... very disappointed,
1,,very very worst experience for video call and voice call time,
5,,"you need the official whatsapp to log in | you need the official whatsapp to log in problem Aapko WhatsApp login karte waqt error aa raha hai ""You need the official WhatsApp to log in"" ya phir ""This account can no longer use Wha...more",
1,,this app is like 💩,
3,,I am facing an issue regarding media send or receive,
1,,not even good I am trying to use this and it is continously saying u need official app,
1,,Because always block WhatsApp account so its hard for me doing work as courier. Please update new features!!,
4,,please recover in the WhatsApp group please,
5,,better communication and video calling,
5,,not for start whatsapp app,
1,,"I always get logged out from app, despite having ensured all security features. All privacy policies are followed but still can't use whatsapp",
2,,"A lot of bugs when scrolling up, the first scroll (when done too fast) jumps a few days back instantly. another bug is when old profile pictures still remain (not cache) when a new one is set by other users. Also dns resolution by this app is trash, i always get a notification that the app uses cellular data instead of wifi because your domains probably fail to resolve..",
4,,great app,
5,,"my WhatsApp is telling me that ""you need the official WhatsApp to login"" please help me Thank you",
5,,"You can Facetime, send messages and literally send pictures who doesn't want that.",
5,,it's easy and time saving,
5,,the best but can't verify my number,
1,,WhatsApp app need to privacy from screen recoding.,
5,,"it's an amazing way of communicating with my family member's and friends , back home.",
5,,whatsApp M esse...,
1,,"i cant login , it has been loading for almost a week now",
5,,Best app for communication and social life.. Thank you for making...god bless you..,
1,,msg and videos pics cannot send at a time,
5,,"hi👋,I just wanted to say,I'm not able to edit my posts because sometimes I make mistakes with my spelling and I don't realise after posting on my status",
1,,my all massage and account was suddenly deleted 😬 can't restore.?,
1,,I've been I've been experiencing foolish things WhatsApp and I will never use WhatsApp again in my life to come and we don't try it again,
1,,the old version was battle then the new version,
5,,it's very good and useful for communication,
3,,It help me to communicate with friend,
5,,WhatsApp achsa hai,
5,,Love you asp is good,
5,,To open the whatapp,
1,,My whatsapp do not opening,
4,,Yes is a nice app,
1,,"I used to keep contacts on mute now the app will not keep my choice, I will mute the app and the chats yet the app is going the other way by allowing muted chats to sound or give notification. Also just realised the once view has been taken away that was a good gadget as it saved memory by deleting once viewed. Not A Good Update In Fact More Like A ""Backdate"" ie features lost not gained. tut tut WhatsApp guys",
5,,not good this app,
1,,unable to load whatsapp and do registration,
2,,"Sometimes WhatsApp just stop responding after texting a long bit and forces the app to stop function automatically. Profile picture Bug(i.e. the circular pic appears square shaped) is so irritating and it is not fixed in past 3 years.(approx). file redundancy is slow, media scrolling sometimes force the app to stop responding.",
2,,To be helping others,
5,,"WhatsApp is very useful communication, vedios, pictures send to each other",
5,,it is so useful for me,
3,,Good app,
1,,downloading very late😞,
5,,Very good app,
1,,Whatsapp helps connect you to people close to you,
5,,It's a good app for people message from far away i love Whatsapp,
5,,The app is very nice and can be used on any device,
1,,Contraction working,
1,,It is very bad if any account has to be added then it does not get added. He works very quickly but it takes a long time.,
1,,"l am your child , if l offended ,you can't sack me even 24 hours, consider me please./-l don't know it is a difference mistakes again, please forgive and forget thank you.",
5,,good and legitimate app,
2,,Good apps,
5,,Easy communication smooth and simple to use ✊,
1,,"i am not getting the filter option in video call , and I can't create my own stickers , there are many missing features in my WhatsApp app",
4,,"mute notification is not working properly from the last 2 updates, and also not working backup restore from Google drive backup.",
1,,am unable to open WhatsApp on my phone,
5,,Thank,
5,,Can you use this app to delete messages?,
5,,just go's offline,
5,,it needs a lot of added features like bad words in Tamil or English specific to a locality may be decided by a experts survey,
5,,Great Work WhataApp Family,
3,,It's crazy isn't it?,
5,,my whatsup is not open,
4,,This good app,
1,,the WhatsApp is nice chat app it no has the actual,
5,,good apps,
1,,"There are many malfunctions, and there's a specific number that disappears when I set it as the chat background and then exit the chat. Please help me solve this problem.",
3,,MI SI TOLGONO I NOMI DA I CONTATTI E LI DEVO RIMETTERE MANUALMENTE :(,
2,,Received emergence masseges faster,
5,,this is very useful & square app,
2,,It's ok Clear,
1,,why I can't installed this apps,
1,,"I'm addicted to this app,I barely use another massaging app really.",
4,,Very good calling app,
5,,This app is the best of best it's very awesome 👌 you can communicate with others from different countries. The only little thing is that there's update that's just it,
1,,Dear whatsapp I'm interesting vediocall filter on whatsapp please enable that update I'm interesting whatsapp vediocall filter option not showing in my whatsapp account,
5,,very important,
5,,"This app is very good even people can respond to a WhatsApp channel without downloading NGL , buh this app takes too much space...",
2,,I keep finding that my contacts that are also on WhatsApp keep disappearing from my address book. I keep adding them directly to the address book (not from whatsapp) and then the next day they are gone. It looks like WhatsApp keeps deleting my contacts from my phone. I did not give it permission to do that and this is a complete security violation. I don't understand how the app that is reading contacts is also allowed to go directly in and delete them.,
4,,"This is really a nice app, you are going to enjoy using this app",
5,,"I don't know if I will use WhatsApp since it fails to update,I need someone else to help me fix it.",
5,,Nice app s,
4,,Really easy to use but the deleted messages cannot be deleted it shows DELETE FROM EVERYONE...,
5,,best wishes aap,
2,,Being a post graduation student i join 5-6 groups at once and whatsapp banned my account for 24 hours stating that snap activity has been detected. now I can't see any important messages . and if the same thing happens again in future they will ban my account permanently. why ?,
5,,very nice app easy to connect with people all over the world....... wonderful 👍🏾👍🏾,
1,,too many channels suggestions..,
1,,screen share bd kro app se,
1,,please provide A option to on/off or disable or enable channels in status section all the channels suggestions are very distracting every time I hide all suggested channels new channels pop up in seconds,
5,,Why we not version is low,
5,,this is very good app,
3,,why my chat wallpaper has a bug where it became half screen black after exiting my keyboard? is there a way to fix this? I'm using realme 13 pro +,
5,,my account is blocked,
5,,unban whatsapp,
5,,my WhatsApp messenger is not available why,
5,,good to communicate,
5,,all is good but when we put status then you can't write anything and you can't change anything. I thik on this issue you have to work,
5,,whats should provide documentation and auto crop function as well,
5,,good service whatsapp,
5,,it is so good,
5,,my experience is good,
5,,good app,
1,,Single ther joon nah,
5,,It's faster,
5,,tha best,
1,,I recommend WhatsApp to anyone. It's the best chatting app I've ever seen. IT'S THE BEST LOVE IT,
5,,wathsapp banned problem,
5,,seamless app and convenient,
5,,it is w very useful app,
5,,play store not download,
5,,I love whatsapp,
5,,It's very easy to operate and gives better quality for video calling and audio calling also.,
4,,I have two different operator numbers because I use them for different purposes. But at WhatsApp we can use one account one number. It will be helpful if we add many accounts at a number. I mean people will send messages to me in different numbers. But I will receive that in the same account and also see that in which number he/she send me messages.,
1,,no opening ho rah ha,
2,,Good and fast,
4,,Please add an option to toggle the Material Expressive 3 theme or the Material You theme with the colour palette.,
1,,I got banned from the app in 2 minutes of installing it,
3,,easily communication,
1,,Whatsapp already works. Please stop bloating it with useless updates.,
1,,call cannot be used,
1,,What happened to WhatsApp? You could use two IDs at the same time. You could log in to the other account by pressing the switch account button. But now it is not happening and all the conversations in the chat list are being deleted automatically. What is the reason for this?,
4,,it's cool,
1,,"hey team whatsapp.... why no one cannot see my whatsapp bio , where I selected this to everyone..... ???? I wanna know the reason ...... why they can't see my bio",
5,,the most fun and secret keeping app i have ever seen in my life better than Facebook,
1,,cant register phone number,
5,,how earn money From Whatsapp,
1,,unable to see others whatsapp about solve this problem,
3,,for me to tag someone in a post is now a problem.!!!!! since I updated the app there has been a lot of glitch 😪. please fix it.,
5,,very fine,
5,,its good to chat with people,
4,,why do video and image uploads quality drops lately?,
1,,not updating when there is freespace,
5,,the most important and powerful app Whatsapp 💪,
4,,now days we answer call in offline whatspp showing we are in online,
4,,Please can you remove skin colour effects from emojis😔 cuz I had a bad experience.Please take it serious.,
5,,good thing,
5,,Love you,
5,,good app,
1,,"noted that's is your experience.. so you can follow as we'll as soon you.. that was an your personal... so you could have your self vediows keep von your side ..,... that's has realized and ihavevti say.. if hasto given me do keep",
5,,the best message app,
5,,Why my WhatsApp is not downloading,
5,,The best app,
4,,It is blocking me from using it,
4,,i love using the app,
5,,"it,s is a very good communication app for business students etc I would like to thanks meta to provide such a great app..",
5,,great app,
2,,it is good as per my experinces when using it,
1,,Cant download wats app through email i need sms for fone number,
5,,it is nice,
5,,it's the best app use for contacting friends and families 🥰❤️,
4,,Good application 👍,
5,,"pls meta try to add ways we can get cash inside this app I think it may add to its usefulness,can I give u 5star",
3,,this is best chatting app,
5,,nana WhatsApp pade pade ban agata edey please nana WhatsApp account on ban madi please,
1,,song is dont share in this whatsApp it is very useless👎👎👎👎👎👎👎,
1,,I do not know why my account was suspended. I got no idea why my account was suspended. I think my whatsapp account was hacked!!,
1,,your app has a problem my number cannot verified it's said need to download official app it's so trashed,
4,,"my account has been blocked for reason I am not aware of stating that I am non compliant. I am feeling quite disappointed ☹️. To my knowledge I have not done anything apart from sending Videos, Voice messages and WhatsApp messages to my contact.",
5,,It so accurate.,
2,,cant you not ruin the quality of a picture/vid everytime it's been send Or uploaded in status... please fix that issue seriously,
1,,Help Mera what's app ni chal that plzz help me sorry,
5,,mera whatsapp bhahut solo hai use fasta karo na please🙏,
5,,request for to many updates,
3,,this issue happened after the recently update. i can't pin chats and sometimes the theme change to regular wallpaper and chat colour. hope this will be fix soon.,
1,,"💬 WhatsApp Support Message (Copy & Send to WhatsApp Team) Dear WhatsApp Support Team, I recently received a message saying “This account can no longer use WhatsApp.” I believe this may be a mistake or a misunderstanding. I always try to follow WhatsApp’s Terms of Service and use the app only for personal communication. Kindly review my account and restore access if possible. I would be very grateful for your help and support. Thank you for your time and understanding. ❤️ Ban Number: Count",
1,,Bans account for new chats with legitimate purposes,
5,,I like this app because it is a good 😊,
5,,thanks Bro,
1,,"I've been experiencing reoccurring issue of not being able to update my status. This is the second time of it telling me 'sending failed'. Please look into it, it's frustrating.",
5,,good evening pls restored back my account on WhatsApp pls,
5,,this is so shj,
3,,Great,
5,,the app is good but sometimes you usually stress someone,
5,,hello sir please help my backup WhatsApp chatting,
1,,worst support,
5,,I love to dawn load what's app,
5,,i like this aplication,
1,,"Disappointing app, I regret using this app, why not the owner of this app should just disable the existence of this app because it's worthless and useless. I could have given 0 star if there's room for any, and if you wanna know my reasons it's because I barely get 5 minutes to chat with someone on the app, it's always spamming my account, what a waste of time using this app.",
5,,very nice and usefull,
1,,"yoo, I'm sick of this rubbish, why can't I post media to my status when I add sound to it? and why can't I reply to status posts with voice notes? why is the quality of your calls becoming worse by the day? and, most importantly, WHY IS THE DEFAULT MEDIA VISIBILITY OPTION YES? THERE SHOULD BE AN OPTION TO CHOOSE FOR EVERY NEW CONTACT OR GROUP!!! FIX THESE THINGS!! I'M FREAKING FED UP!!",
1,,cannot login without phone number like facebook and Instagram,
1,,Help my Whattsapp number is banned I am facing a problm whattsapp this account is not allowed to use whattsapp Due to spam please fix this problm and return to review my whattsapp number I have not did anything against Whatsapp policy and rule's I am sure that my number has been banned by mistake please review my request My whattsapp number Thanks and regards,
1,,My WhatsApp account is closed and I can't even not verify And the account has been blocked again and again and has not even been verified.,
1,,Unable to install,
5,,"It's fantastic, it's the app I use the most.🥰🌹🤍",
5,,improve on the user desktop,
3,,Why now after update 25.11.25.. Voice whatsapp cannot forward or share at status.. Before this can.. Please review the features...,
1,,please whatsapp Team unbanned my WhatsApp number,
5,,To download apps,
5,,it is basically the best app s,
5,,wossom .,
5,,my number has been blocked please unblock my account,
5,,My whatsapp is not updating,
5,,very good app very easy-to-use the message and voice note is way 👌 forwarding,
1,,"i cannot access my whatsap directly the the whatsap app on my phone, I need to go through Google play store",
4,,my account can no longer use due to spam can you please help me return account,
5,,really good,
5,,very usefulness app,
5,,I love WhatsApp,
5,,good app,
2,,The widgets are not working. I have the pixel 10 pro XL. every time I try to add one it just disappears,
5,,update my what's app,
3,,Okkk good 👍👍👍 👍👍👍 nice 👍👍👍👍 simple and describe the wjhccv,
2,,I want to use a WhatsApp for talking with my friends and family,
5,,good to hear from your friend,
1,,I can't activate my Whats soApp,
5,,It's Fantastic,
1,,my account got ban suddenly,
5,,best and easiest way for chatting,
5,,nice using app,
5,,I love WhatsApp overall. But it would be good if you can make it like other messenging app where I dont lose my chat history when I uninstall and install.,
1,,The chats I saved for my personal use suddenly disappeared.,
5,,everything is perfect.,
1,,I'm always logged out of my account maybe every 3to4 days claiming that I'm into some kind of illegal activity but the app is good in the exception of ☝️,
5,,It's always help ful to me.,
1,,What's app is a best app and use full,
5,,Kuap chan WhatsApp,
4,,waiting for beta,
1,,"On average I'm being logged out of my account close to 10 times a day, and this has been happening for the past three weeks now. The process of having to add my number and log in again and again is now exhausting. I have no idea if the problem is with the app or really there's some hackers out there trying to take over my number. I've tried to reach out for help on the issue only to deal with AI. My problem needs another human not a machine, please.",
1,,"everything is perfect except the amount of junk updates they are putting in Please, at least remove that stupid thing about information having an expiration date.",
5,,please please please,
2,,still waiting for verification call,
4,,Gb whatsapp is better plzz try to make it best with themes and other function,
5,,That's a good app I love it please add screen share option. The latest change in beauty and front light option is not good. make the previous one available.,
5,,Install it very good application,
5,,My whatsapp can't send and receive messages and l have data so what's the the issue,
5,,It's great application for all family and friends love it,
1,,"Unable to get otp, what is the problem??",
5,,my account is saying my number is nolonger using whatsapp,
5,,tx for give this app,
5,,please add whatsapp reels video,
5,,bast app,
5,,very nice app,
1,,I can't sync my contacts,
1,,very cheap quality . my linked device not working properly since 4 or 5 months... my problem is'nt solve...,
3,,honestly I don't like the new update for about like words limit is 50 atleast it should be 70 to 80 and duration like how much time the about last. its irritating. overall app is really good but the new update i don't like it.,
5,,this app is perfect and sharp,
5,,"l just brought another phone and l intend to manage my previous account and email address, l am very excited about the experiences so far. l love META and the safe guards.",
1,,"I will never, ever give you access to my contacts. Stop asking. STOP DEMANDING. It's not happening. Taking away functionality to force me to give you access to my contacts only proves how right I am to not give you access to my contacts. I hope everyone involved with this app and the decision making for updates experiences the most miserable life imaginable.",
5,,Thank you,
4,,It is a best messenger app,
5,,it is very easy to use it was very good app,
3,,App can't restore chats backup after reinstall even after taping restore button,
5,,Amar what's app a problem kortace kno?,
1,,WhatsApp probomel,
5,,It is nice,
1,,please roll back the msg limit on broadcast list.Why it has been only rolled out for Android users and not for apple?,
4,,"i like the app, because it's easy going.",
1,,"so bad experience your app is not even downloading in my phone and says there is no storage space how many apps should I uninstall , is this looking like a joke to you",
5,,"Two account backup not working ,Restore whatup not working, kindly do the needfull",
3,,"Having issues can't Record voice messages and send Media to someone, I don't if it's me that don't know how to use the App.",
3,,good but too much data used,
5,,I like it coz I talk to everyone,
5,,very good app and so easy to use,
5,,nice but not too much fun,
2,,whatsapp web not working camera Focus not working,
5,,backup problems on my account so please correct,
4,,Why few chat bubbles are not exactly in rounded edged squaricle. 2 corners of the squaricle are enlarged a little.,
5,,mostly excited app and fittest,
5,,"verey helpful app, thank you",
5,,I request to allow WhatsApp to post our video picture or anything with our friend for a long time,
1,,Please mention DATE+TIME+DAY on time stamp instead of only DAY.. yesterday.. Tuesday.. it's UNIVERSAL please be specific on message DESCRIPTION,
1,,I faced whatsapp crash but didn't get rid of this,
5,,open whatsapp,
1,,I can't update my WhatsApp,
5,,it's not just an app but it's everything to me,
5,,it's cool,
5,,I love this app,
5,,good app,
5,,Whatsapp my life,
5,,why not chating,
5,,Great,
5,,WhatsApp is great for messaging and video calls and voice calls.,
5,,really nice,
1,,my WhatsApp are not open,
5,,it's awesome I love it!!,
2,,"Anytime I add songs to my videos or pictures, it's won't send.",
1,,it's very bad,
5,,I'm just a new beginner but I hope it will help me as I was using WhatsApp Business right,
2,,I thanks for alll my people,
1,,not new updated show i need latest version,
1,,"My WhatsApp experience has been very frustrating lately. First, all my chats disappeared after the “Restore chat history” popup. Then backup stopped working, even though I had enough Google Drive and phone storage. After uninstalling, WhatsApp wouldn’t reinstall properly from Play Store. I rely on WhatsApp daily, so this caused a lot of stress. Please fix these restore/backup issues users should never lose important chats.",
5,,l think this app is great for calling and texting l have used it for 12 years:-(,
5,,Really really apriacite 100/,
5,,Best of the best,
5,,it's good but it's loding so slowly,
5,,good application app,
1,,it doesn't WANNA WORK even after you updated it !,
1,,"Who thought swiping up in a group chat to chat was something ANYONE wanted, and why can't it be disabled. How did it pass user testing, you literally cant catch up on a long group conversation without calling everyone at the end. poor effort IMO guys. Can you revert back to implementing things people actually want or at least give people the option to disable these useless features please.",
5,,good app,
5,,useful for us 😀😀😀,
2,,why viewing status is displaying half view in the screen,
5,,so easy to use its great,
2,,your best Whatsapp in working all country,
1,,"yaar please remove channel suggestion or atleast provide option to disable suggestions,as they are inappropriate suggestions,almost all showing nsfw options.",
5,,very good very nice and very beautiful appp,
5,,thank you,
5,,I enjoy the App,
3,,It is the best ever communication app that makes my daily life easier to connect with my loves one.,
5,,this is the most easy way to contact anyone.,
5,,good. but i need WhatsApp premium features,
2,,Pls i don't know how to say it is not workout,
5,,Satisfactory 😁😁,
5,,good app,
5,,It is a good app,
5,,WhatsApp doesn't block unknown contacts you should make a privacy so that any unknown number couldn't send any text . currently by activating block unknown messages in the advance section unknown contacts can send messages to you.,
1,,"please add option to remove recommended chanels, chanel suggestions are really unappropriate and disgusting.",
5,,good app,
2,,It's a very lmportent app in this section this message will have a good idea to advertise the app,
5,,good app,
5,,"I'm haxen problems with my what's app,its writting this accounts no longer use what's App due to the spam.",
5,,It's very very Good,
5,,thillai,
5,,waste app in the world total wy,
5,,this very cheep,
5,,THE APP COULD DO WITH SOME LOGO UPDATE,
5,,"Dear WhatsApp Support Team, I am writing to sincerely apologize for my previous actions and to acknowledge that the issue leading to this communication was entirely my mistake. I understand the importance of adhering to WhatsApp's terms of service and community guidelines, and I deeply regret any inconvenience or disruption my actions may have caused. I have reflected on the situation and am committed to ensuring that such an incident does not happen again. I would be incredibly grateful",
1,,no privacy- they want to creep into your phones contacts,
1,,"farm house booking k hawaly se baat howey, us k baad sir ney data he off kar diyea.",
4,,i hope that whatsapp will upgrade the pinned for more than three,
1,,"it keeps on telling me to download the official while it's the official l,I don't know what to do now am confused because I keep running in circles",
5,,Just the best No Cap,
2,,"I have a problem when I listen to consecutive voice messages in the wahtsaap from my samsung s 24 ultra phone, because between one consecutive voice record and another (which start automatically), WhatsApp emits a very loud sound, which with the ear resting on the capsule of the phone, is painful!How we can stop the sound",
5,,My whatsApp dnot whit to opey,
1,,PLEASE IMPROVE YOUR VIDEO AND PHOTO QUALITY WHEN UPLOAD IN STATUS,
5,,the app is great but there is a slight problem I am getting banned without disturbing WhatsApp terms of service please solve this,
1,,After last 2 updates I'm unable to unmute the notifications of any of the chats I want. It just doesn't seem to work in anyway 😡,
1,,"very inconvenient recently, you can't even logout when you want to just stay private and lowkey..that's the worst feature and you call yourself safe app",
5,,my WhatsApp Only loading loading 7 hours continue please help me 😭,
5,,"amazing,fantastic. best app for use .",
5,,new what's app,
5,,this is very incredible,
4,,please make a permanent option for whatapp 'About' option.,
1,,my calls are muted why,
1,,"very poor app. just because of other person complaint, this whatsapp community banned my app and they are not ready to unbanned it. I have so many work chats data. they are ready to share my chats data on other number. Whatsapp is on ego way. if they won't listen thier users query.",
3,,I like use this WhatsApp,
5,,please unblock my whtsapp and start the my whatsapp,
5,,very good app,
5,,on my whatsapp,
5,,it is basically best communication app,
5,,i think if whatsapp add new feature. like i am busy now and i want to msg someone or wish someone on specific time. but in working i dont remember this or i am in meeting so i dont have time to msg or wish. so i want to suggest whatsapp team to add feature. like i type msg or wishes and set time or date. and that time or date automatically msg forwarded. so the peoples of other side. feel happy and they think they are very important for us.,
1,,The new update is a binch of rubbish. its sliw. freezes and is just a pain.,
5,,I love it It's help me allot But y it's my account spam while I wasn't active for days,
5,,The most reliable genuine private app available ever seen ...am sooo soo grateful with the creator of this app ..keep it up,
1,,my whatsapp is very problem not open please helping,
5,,Am try update WhatsApp but network is disturbing me,
2,,"please turn off USB storage and try Again, But why show is this???",
5,,I cantcan't used whathsspp,
4,,this is a app that solved almost all my problems with chatting with friends and family members. It is easy and convinent to use and chat.,
5,,all I can say is this appp is the best,
5,,not yet experienced but that's perfect communication source,
5,,i need to lock my WhatsApp,
5,,Thank,
5,,Original app was good,
3,,putting the views icon on the bottom left hand side is frustrating for most single-hand users who use the right hand most of times,
5,,Good app,
4,,my account have been banned,
5,,very nice app,
2,,"I had posted a lot of attachments, docs to myself. I found on 23 Nov that they are all gone without any warning! My Chat with my own number is blank! I posted a complaint to Support but no response.",
1,,"issue with Broadcast list i.e. in app there are 35 messages per month but when I send 20 messages then it is showing you have used 35 and removed sending options from my broadcast list. then I want to take help from support. this is the crucial part ""no useful support from WhatsApp there is ""contact us"" button but there is no use when I asked help from it it is showing how to see limit but not giving any instructions to how to retain original number of messages actual no use with email support",
4,,not good app,
4,,i like whatsapp 😁 because I am student so I always need to whatsapp,
3,,"I would really appreciate it if WhatsApp added an HD upload option for Stories. Currently, photos and videos lose quality when posted. very downgrade. Having an HD option would ensure clearer and sharper Story content",
1,,"whatsapp doesn't show search on listeven after contacts synchronised, I can't get search option on top panel of Chat. I can't search already message and added in contact list",
5,,if experienced so many good things about this app,
5,,It is nice but it takes alot of time installing,
5,,"My number has been blocked since October 4, 2025, up until I wrote this review. I have submitted an appeal via email and WhatsApp application but no response. Lastly try writing comments in official facebook Whatsapp page. Finally my account is back. Thank you very much.",
5,,please help me to open this,
3,,How long will you take to add a download button or status saver,
5,,I can't restore my WhatsApp,
5,,easy-to-use,
5,,the software is very useful for all offical and non offical use. Very nice work.❤️❤️❤️,
1,,I want to report a bug in the Whatsapp Status viewers banner I just named my friend very long so the message icon is coming over the name of my friend which looks mismatched please have a look and resolve the issue !,
1,,please help me,
1,,all phone WhatsApp update but my phone is not updated i have latest phone,
5,,it is a good app,
5,,Great..,
5,,whatsapp downloads,
1,,this app is not available in my phone redmi,
2,,it's a nice app by the way easier to operate,
5,,Cool,
1,,This account can no longer use WhatsApp Business Recent activity on this account does not follow the WhatsApp Business Terms of Service on sending spam or other impermissible communications. This account's business info and chats are still on this device.,
5,,this app has been the best for some years but why I can't view my status everytime am trying to view it says error what's could be the problem,
5,,status quantity is not good,
5,,Nice one but you have to do a lot of advertisement,
1,,Not good I downloaded the new version of WhatsApp and I was restricted from using WhatsApp since ever then with the message you need the official WhatsApp to login.,
1,,is not installed in the phone,
5,,It is the best app for video,
2,,good morning I requested for loan they didn't give me,
2,,please why my phone number isn't verified on oppo f11,
1,,unable to hide unwanted channels in the recommended list and can't filter channels as well 👎👎,
5,,This app is very useful all forms of every media_related communication 👏.,
5,,This is an attractive and really helpful messenger,
5,,It's the most convenient and easy-to-use application for a communication with your international friends/ colleagues/ customers 💚,
1,,"WhatsApp's new features are useless, and the Channels are wasteful. They allow people to create unnecessary, low-quality content. WhatsApp should remain a platform for personal communication, not a space for narcissistic broadcasting, that's what Instagram and other platforms are for. I miss when WhatsApp was just for chat and calls.",
1,,WhatsApp showing wrong contact photo making me confused my other contacts. I have reported 1 month ago to them and still the issue continues until today.,
1,,"My app is failing to download audios , pictures and any media files.I can't even upload my own wallpapers from my gallery",
1,,WhatsApp band ho chuka hai mera WhatsApp on kar do,
5,,I notised it's the best app for communication,
1,,"after I backed up my chats (automatic from the app), my recent chats just disappeared and then back to the last night chats..... how do I fix this? because I can't find the back up in Google One app. also it wasnt manually backed up so I accept the automatic back up. but if this always the case then I won't back up at all atp😭",
5,,WhatsApp is best,
1,,I am so much disappointed from your updates. because no reason ban our accounts and make us so much problem at these exams time. I request to WhatsApp support team that don't ban our accounts without any reason and whatsapp accounts without any reason please make sure the mistake and after that give warning ⚠️ I hope you surely take action on this topic and make a update to become whatsApp thanks.,
1,,how to resolve auto logout from whatsup web in computer window 10. I am not satified.,
3,,Very fanterstic and I don't want am very excited about it and I don't want to lose it,
5,,hello sir ply my whatsaap problem theek krdo sirr veryphy nhi ho raha sir number baar baar can your no logers whatsaao new number mag raha sir yeh pro baar log out ho raha plz sir i requst you sir help me thank you sir,
5,,Old mail id is changed.but how to get old messages received?,
3,,Kindly remove the option of voice chat as it gets annoying when it gets connected without intention.,
5,,for communication,
5,,I can't able to use whatsapp now ...why?,
3,,Good very nice,
4,,Pls i want chat with my watsapp but he s not working,
1,,"After downloading the lastest update, some important contacts can't use the customized ringtone when calling, it's dissapointing. Please fix this! I'm using android version 15 and already uninstall the app but everything still the same!",
5,,good app,
4,,This app is awesome but the option voice chat is not required and I don't vote for it.,
5,,Good application,
5,,wold best app,
1,,"blocking WhatsApp here and there,after I've inform them about my business and that how I communicate with my clients, it's totally not fair",
3,,"Remove lock chat feature, please🥺 because of this feature, infidelity often occurs. my man playing with other girl.. ☹️",
1,,I don't have access to my app it doesn't allow me to login. It started as it wanted a upgrade till now,
1,,vdo sent to very slowly,
5,,please clean my whatsapp,
5,,I preciate more efforts on it I am so happy to use this application thank you so much for Bain loyalty to me,
4,,the back up is not working,
4,,Official whats app ❤️❤️😁👆,
4,,new update doesn't allow you to have your about show for longer than a month,
5,,"mostly I get ít again, it's better communication.",
1,,I can't open directly,
5,,hello WhatsApp help me my message my active account,
4,,It's just ok for me. Except no matter how good the network is video calls aren't always ok basically too much lagging.,
5,,Ichcha butty,
5,,great apps,
1,,old version is better because broadcast limited massages 👎,
5,,I think it's a very excellent app,
5,,soft in communication with friends and love ones,
1,,"I love Whatsapp because It's very good to us we can use it to chat, get information, and to communicate",
2,,vedios & photo status upload is not good very poor quality that's low quality of boths realy disappointing sometimes,
5,,This app have look good visually,
5,,It has been improved,
